Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0
alto k10,2016,3,3.76,10079,Petrol,Dealer,Manual,0
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0
fortuner,2015,23,30.61,40000,Diesel,Dealer,Automatic,0
innova,2017,18,19.77,15000,Diesel,Dealer,Automatic,0
fortuner,2013,16,30.61,135000,Diesel,Individual,Automatic,0
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0
fortuner,2017,33,36.23,6000,Diesel,Dealer,Automatic,0
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0
innova,2017,23,25.39,15000,Diesel,Dealer,Automatic,0
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3
land cruiser,2010,35,92.6,78000,Diesel,Dealer,Manual,0
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0
fortuner,2015,23,30.61,40000,Diesel,Dealer,Automatic,0
corolla altis,2008,4,22.78,89000,Petrol,Dealer,Automatic,0
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0
corolla altis,2017,17,18.64,8700,Petrol,Dealer,Manual,0
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0
i20,2014,6,7.6,77632,Diesel,Dealer,Manual,0
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0
eon,2012,2,4.43,23709,Petrol,Dealer,Manual,0
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0
i10,2013,4,4.6,30000,Petrol,Dealer,Manual,0
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0
city,2013,5,9.9,56701,Petrol,Dealer,Manual,0
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0
brio,2012,3,5.35,53675,Petrol,Dealer,Manual,0
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0
amaze,2014,3.9,7,36054,Petrol,Dealer,Manual,0
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0
brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0
amaze,2015,4,5.8,40023,Petrol,Dealer,Manual,0
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,0
amaze,2015,4,7,40026,Petrol,Dealer,Manual,0
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0
amaze,2014,3.65,7,35000,Petrol,Dealer,Manual,0
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0
city,2015,6.7,10,18828,Petrol,Dealer,Manual,0
city,2011,4.1,10,69341,Petrol,Dealer,Manual,0
city,2009,3,10,69562,Petrol,Dealer,Manual,0
city,2015,7.5,10,27600,Petrol,Dealer,Manual,0
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0
jazz,2016,6,8.4,4000,Petrol,Dealer,Manual,0
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0
city,2014,8.25,14,63000,Diesel,Dealer,Manual,0
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,0
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0
brio,2015,4,5.9,60000,Petrol,Dealer,Manual,0
city,2009,3.35,11,87934,Petrol,Dealer,Manual,0
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0
brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0
Volkswagen Ameo 1.5 TDI Highline,2017,6.45,10.04,51000,Diesel,Dealer,Manual,0
Volkswagen Ameo 1.5 TDI Highline,2016,6.75,10.04,20000,Diesel,Dealer,Manual,0
Tata Zest Quadrajet 1.3 XT,2018,6.69,10.06,38310,Diesel,Dealer,Manual,0
Tata Zest Quadrajet 1.3 XT,2017,5.85,10.06,27768,Diesel,Dealer,Manual,0
Honda Jazz V CVT,2017,6.95,10.10,17978,Petrol,Dealer,Automatic,0
Maruti Vitara Brezza ZDi,2018,8.75,10.13,2900,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi,2016,8,10.14,35299,Diesel,Dealer,Manual,0
Volkswagen Polo 1.5 TDI Highline,2016,6.3,10.15,29647,Diesel,Dealer,Manual,0
Volkswagen Polo 1.5 TDI Highline,2013,3.5,10.15,65000,Diesel,Dealer,Manual,1
Honda Jazz V CVT,2015,7.25,10.17,33000,Petrol,Dealer,Automatic,0
Hyundai i20 Active SX Dual Tone Petrol,2019,8.6,10.25,1000,Petrol,Dealer,Manual,0
Maruti Dzire AMT ZXI Plus,2019,8.3,10.26,8018,Petrol,Dealer,Automatic,0
Maruti Baleno Alpha Diesel,2018,8.7,10.28,2000,Diesel,Dealer,Manual,0
Maruti Baleno Alpha CVT,2019,9.51,10.30,13574,Petrol,Dealer,Automatic,0
Maruti Baleno Alpha CVT,2018,8.85,10.30,3000,Petrol,Dealer,Automatic,0
Volkswagen Polo 1.5 TDI Highline,2018,8.12,10.32,33558,Diesel,Dealer,Manual,0
Mahindra Bolero SLE,2012,4.3,10.32,75000,Diesel,Dealer,Manual,0
Honda WRV i-VTEC VX,2017,8.25,10.32,32248,Petrol,Dealer,Manual,0
Volkswagen Polo 1.5 TDI Highline,2014,5.65,10.32,52951,Diesel,Dealer,Manual,0
Maruti Dzire AMT ZXI Plus,2017,8.5,10.34,13000,Petrol,Dealer,Automatic,0
Honda Amaze VX Diesel,2018,8.5,10.34,12000,Diesel,Dealer,Manual,0
Maruti Ertiga VDI,2017,7.75,10.41,63939,Diesel,Dealer,Manual,0
Ford EcoSport 1.5 Diesel Trend,2017,7.69,10.42,63423,Diesel,Dealer,Manual,0
Maruti Dzire ZDI Plus,2017,8.2,10.48,24000,Diesel,Dealer,Manual,0
Mahindra NuvoSport N6,2017,6.5,10.52,29000,Diesel,Dealer,Manual,1
Mahindra NuvoSport N6,2018,7.29,10.52,37323,Diesel,Dealer,Manual,1
Honda WRV i-VTEC VX,2018,9.9,10.57,37430,Petrol,Dealer,Manual,0
Honda WRV i-VTEC VX,2018,9.29,10.57,15135,Petrol,Individual,Manual,0
Maruti Baleno Alpha Diesel,2017,8.4,10.63,24000,Diesel,Dealer,Manual,0
Toyota Etios 1.4 VXD,2018,7.9,10.63,3000,Diesel,Dealer,Manual,0
Maruti Ciaz Zeta,2018,9.95,10.65,25692,Petrol,Dealer,Manual,0
Maruti Vitara Brezza ZDi,2016,8.9,10.65,21558,Diesel,Dealer,Manual,0
Maruti Ertiga VXI AT Petrol,2017,8,10.65,28000,Petrol,Dealer,Automatic,0
Maruti Dzire AMT ZDI Plus,2018,8.55,10.70,64035,Diesel,Dealer,Automatic,0
Hyundai Verna CRDi 1.4 E,2008,1.9,10.73,121097,Diesel,Dealer,Manual,1
Honda Jazz Exclusive CVT,2018,8.25,10.81,3000,Petrol,Dealer,Automatic,0
Honda Jazz VX Diesel,2016,7.4,10.81,14980,Diesel,Dealer,Manual,0
Honda WRV i-VTEC VX,2017,8.9,10.83,15000,Petrol,Individual,Manual,0
Volkswagen Polo GT TSI,2015,7.4,10.83,26323,Petrol,Dealer,Automatic,0
Maruti Ertiga VDI,2018,8.49,10.83,51236,Diesel,Dealer,Manual,0
Maruti Baleno RS Petrol,2018,8.61,10.89,26731,Petrol,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus,2017,8,10.91,80000,Diesel,Dealer,Manual,0
Volkswagen Vento 1.6 Comfortline,2014,3.49,10.94,38000,Petrol,Dealer,Manual,0
Maruti Dzire AMT ZDI Plus,2017,8.9,10.97,19000,Diesel,Dealer,Automatic,0
Maruti Ertiga VDI,2016,8.2,10.99,86000,Diesel,Dealer,Manual,1
Maruti Vitara Brezza ZDi,2018,10.46,11.00,64456,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi,2017,9.75,11.00,45000,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi,2017,9.88,11.00,21789,Diesel,Dealer,Manual,0
Mahindra Bolero ZLX,2016,3.5,11.01,40448,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi,2016,9.3,11.02,41372,Diesel,Dealer,Manual,0
Volkswagen Vento 1.6 Comfortline,2012,3.59,11.05,60818,Petrol,Dealer,Manual,0
Honda Jazz VX Diesel,2017,8.4,11.05,17151,Diesel,Dealer,Manual,0
Ford EcoSport 1.5 Petrol Titanium,2018,9.2,11.06,17000,Petrol,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,9.25,11.06,33000,Diesel,Individual,Manual,0
Maruti Ciaz Zeta,2017,8.2,11.11,5500,Petrol,Individual,Manual,0
Maruti Ciaz Zeta,2018,9.18,11.11,10575,Petrol,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus,2018,8.63,11.12,50075,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus,2017,9.13,11.12,38426,Diesel,Dealer,Manual,0
Tata Nexon 1.2 Revotron XZ Plus,2018,9.62,11.13,17477,Petrol,Dealer,Manual,0
Mahindra Bolero ZLX,2012,6,11.15,105000,Diesel,Dealer,Manual,1
Honda Jazz VX Diesel,2016,6.21,11.15,38000,Diesel,Dealer,Manual,0
Mahindra Bolero ZLX,2013,5.5,11.15,63000,Diesel,Dealer,Manual,0
Mahindra Bolero ZLX,2016,7.21,11.15,65000,Diesel,Dealer,Manual,0
Maruti Ertiga VDI,2017,7.65,11.16,65000,Diesel,Dealer,Manual,0
Volkswagen Vento 1.5 TDI Comfortline,2012,3.4,11.16,34000,Diesel,Dealer,Manual,0
Hyundai Verna VTVT 1.6 SX,2018,8.7,11.19,5000,Petrol,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus,2019,10.49,11.20,34688,Diesel,Dealer,Manual,0
Ford EcoSport 1.5 Diesel Titanium,2018,9.25,11.20,32189,Diesel,Dealer,Manual,0
Maruti S-Cross Delta DDiS 200 SH,2018,8.92,11.26,12923,Diesel,Dealer,Manual,0
Maruti Dzire AMT ZDI Plus,2017,9,11.26,41747,Diesel,Dealer,Automatic,0
Volkswagen Polo GT TSI,2016,7.25,11.26,28000,Petrol,Dealer,Automatic,0
Volkswagen Polo GT TSI,2017,8.25,11.26,27853,Petrol,Dealer,Automatic,0
Volkswagen Polo GT TSI,2017,7.75,11.26,25000,Petrol,Dealer,Automatic,0
Maruti Ertiga VDI,2016,7,11.27,130000,Diesel,Dealer,Manual,0
Renault Duster 85PS Diesel RxE,2016,6.5,11.27,54000,Diesel,Dealer,Manual,0
Maruti Ertiga VDI,2016,7.64,11.27,54161,Diesel,Dealer,Manual,0
Ford EcoSport 1.5 Petrol Titanium,2017,8.75,11.27,21800,Petrol,Dealer,Manual,0
Mahindra Bolero ZLX,2016,7.7,11.28,82756,Diesel,Dealer,Manual,0
Mahindra Bolero ZLX,2017,8.14,11.28,68557,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,9.51,11.29,35981,Diesel,Dealer,Manual,0
Volkswagen Vento 1.5 TDI Trendline,2011,3.25,11.30,47000,Diesel,Dealer,Manual,0
Nissan Sunny XV CVT,2013,5.43,11.33,37199,Petrol,Dealer,Automatic,0
Maruti Ciaz Alpha,2018,9.18,11.37,38394,Petrol,Dealer,Manual,0
Mahindra Thar CRDe,2016,9.25,11.39,19000,Diesel,Dealer,Manual,0
Maruti Ertiga VDI,2014,7.56,11.44,53817,Diesel,Dealer,Manual,0
Ford EcoSport 1.5 Diesel Titanium,2017,8.45,11.47,39000,Diesel,Individual,Manual,0
Maruti Vitara Brezza ZDi Plus,2017,9,11.47,48324,Diesel,Dealer,Manual,0
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,2018,9.22,11.47,4900,Diesel,Dealer,Manual,0
Volkswagen Vento 1.6 Comfortline,2017,7.1,11.48,15000,Petrol,Dealer,Manual,1
Volkswagen Vento 1.6 Comfortline,2018,7.64,11.48,20488,Petrol,Dealer,Manual,1
Nissan Sunny XV D,2012,4,11.48,70000,Diesel,Dealer,Manual,1
Maruti Dzire AMT ZDI Plus,2017,9.15,11.52,28226,Diesel,Dealer,Automatic,0
Maruti Ciaz Alpha,2017,8.25,11.56,19416,Petrol,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus,2018,10.19,11.58,57078,Diesel,Dealer,Manual,0
Volkswagen Vento 1.6 Highline,2016,7.7,11.63,33000,Petrol,Dealer,Manual,0
Maruti Ertiga VDI,2018,9.25,11.66,14000,Diesel,Dealer,Manual,0
Volkswagen Polo GT TSI,2017,8.27,11.66,50534,Petrol,Dealer,Automatic,0
Mahindra Xylo H4,2016,7.5,11.67,215000,Diesel,Dealer,Manual,0
Mahindra Xylo D4,2016,6.15,11.67,85000,Diesel,Dealer,Manual,0
Mahindra Xylo H4,2015,4.85,11.67,82000,Diesel,Dealer,Manual,1
Mahindra Xylo H4,2016,5.85,11.67,93166,Diesel,Dealer,Manual,1
Hyundai Verna VTVT 1.6 SX,2012,5.77,11.67,32542,Petrol,Dealer,Manual,0
Mahindra Xylo D4,2015,5,11.69,169000,Diesel,Dealer,Manual,0
Mahindra Thar CRDe,2017,9.66,11.71,28599,Diesel,Dealer,Manual,0
Honda City i-VTEC V,2011,3.87,11.74,32572,Petrol,Dealer,Manual,0
Maruti Ertiga ZDI,2013,4.85,11.75,68000,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,9.38,11.75,45362,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,8.25,11.75,22000,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,9.44,11.75,21248,Diesel,Dealer,Manual,0
Mahindra NuvoSport N8,2017,7.57,11.77,37712,Diesel,Dealer,Manual,0
Hyundai Creta 1.4 E Plus Diesel,2018,10.5,11.81,13000,Diesel,Dealer,Manual,0
Honda City i-VTEC V,2014,5.7,11.85,55818,Petrol,Dealer,Manual,1
Honda City i-VTEC V,2011,4,11.85,67031,Petrol,Dealer,Manual,0
Honda City i-VTEC V,2018,10.07,11.88,11732,Petrol,Dealer,Manual,0
Ford EcoSport 1.5 Diesel Titanium,2017,8.99,11.89,26000,Diesel,Dealer,Manual,0
Ford EcoSport 1.5 Diesel Titanium,2017,8.99,11.89,30000,Diesel,Dealer,Manual,0
Volkswagen Vento 1.6 Highline,2011,3.25,11.91,38000,Petrol,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,8.85,11.96,47300,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,8.9,11.96,85000,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,9,11.98,20000,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus,2017,9.49,12.00,39000,Diesel,Dealer,Manual,0
Skoda Rapid 1.6 MPI Ambition,2015,4.68,12.02,39822,Petrol,Dealer,Manual,0
Ford Ecosport Signature Edition Diesel,2019,11.65,12.12,23154,Diesel,Dealer,Manual,0
Ford Ecosport Signature Edition Diesel,2018,10.9,12.12,13000,Diesel,Dealer,Manual,0
Volkswagen Vento 1.5 TDI Comfortline,2014,5.39,12.14,56658,Diesel,Dealer,Manual,0
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,2018,9.9,12.22,14000,Diesel,Dealer,Manual,0
Honda City i-DTEC SV,2015,5.49,12.23,39000,Diesel,Dealer,Manual,0
Hyundai Verna VTVT 1.6 SX,2014,7.75,12.27,46676,Petrol,Dealer,Manual,0
Volkswagen Vento 1.6 Highline,2014,6.98,12.33,55431,Petrol,Dealer,Manual,1
Maruti Ertiga ZDI,2013,6.75,12.34,105000,Diesel,Dealer,Manual,1
Skoda Rapid 1.6 MPI Ambition,2019,9.66,12.44,21214,Petrol,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus,2018,10.15,12.47,52380,Diesel,Dealer,Manual,0
Honda BR-V i-VTEC S MT,2017,8.5,12.51,9000,Petrol,Dealer,Manual,0
Maruti S-Cross Alpha DDiS 200 SH,2016,6.99,12.53,45296,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,11.31,12.56,18108,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,10.34,12.56,25299,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,11.39,12.56,26927,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2018,11,12.56,28741,Diesel,Dealer,Manual,0
Honda City i-VTEC V,2017,8.5,12.57,11000,Petrol,Dealer,Manual,0
Ford EcoSport 1.5 Diesel Titanium Plus,2017,8.09,12.67,78526,Diesel,Dealer,Manual,0
Honda City i-VTEC VX,2017,10,12.68,29000,Petrol,Dealer,Manual,0
Honda City i-VTEC VX,2013,6.26,12.68,38622,Petrol,Dealer,Manual,0
Honda City i-VTEC VX,2012,5.75,12.68,34000,Petrol,Dealer,Manual,0
Maruti Ertiga ZDI,2016,8.5,12.74,33000,Diesel,Dealer,Manual,0
Mahindra XUV300 W8 Diesel,2012,7.25,12.79,97000,Diesel,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,11.25,12.88,3000,Diesel,Dealer,Automatic,0
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,11.5,12.88,3300,Diesel,Dealer,Automatic,0
Honda BR-V i-VTEC S MT,2016,8.02,12.90,34004,Petrol,Dealer,Manual,0
Ford EcoSport 1.5 Diesel Titanium Plus,2016,7.7,13.23,29200,Diesel,Dealer,Manual,0
